EndDate,IPAddress,Duration in minutes,Q1,Q2,Regions,Region.North,Region.Delta,Region.Central,Region.South,"Counties with ""multiple""",Q5_19_TEXT,Q3_1,Acre Ranges,Q3_2,Q4_1,Q4_2,,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q11_2,Water Source,Q16_4_TEXT,Highest/Lowest Price,Highest Price,Pricex100,,Lowest Price,Water +CC Comments,Q12,Q13,Q14,Q15,Q16,Q17,PPH Comments,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q19_1,Q19_2,Q19_3,Q20,Q21,AB Bee BMP Comments,Q22,Q23,Certification Comments,Q24,Q25,Who Supplied Bees,Q40_6_TEXT,Q26_1,Q26_2,Q27,Q28,Q29,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Pollination Comments,Q31,Q32,Q52,Q40_6_TEXT - Parent Topics,Q40_6_TEXT - Sentiment Polarity
12/10/19 15:08,107.77.214.107,5.78,"Owner, not responsible for day-to-day management",Colusa,North,1,0,0,0,Colusa,,100,Medium,20,45,75,TRUE,Farm manager,Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,NA,"Expense of water,Cost of seeds",,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covered the cost of cover crop seeds",A combination of surface water and groundwater,,Not sure/prefer not to answer,,,,,,Yes,1-3%,Somewhat Satisfied,NA,"Lack of available land,Cost to plant and maintain it,Expense of water",Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,,Sometimes,Never,Never,Sometimes,Sometimes,Never,Usually,Always,Always,"Limited communication with nearby beekeepers (not contracted) during bloom (e.g., because their colonies were not registered)","The ability to attract high-quality beekeepers for almond bloom,Increasing the strength of bee colonies during bloom",,Moderate interest,A cost-share program that would cover some of the costs of meeting the certification standards,,Our orchards were not mature enough for bee pollination,,,,,,,,A fair price,Not a concern,Moderate concern,Moderate concern,Moderate concern,Strong concern,,45-54 years old,Male,,,
12/10/19 15:11,174.222.135.144,6.23,Owner/operator of almond orchard(s),Stanislaus,Central,0,0,1,0,Stanislaus,,25,Small,1,25,0,TRUE,"Owner of the almond orchard(s),Independent PCA (not affiliated with an agricultural retailer)",No,,,Yes,"Availability of equipment needed to plant seeds,Increased risk of frost damage,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",,A combination of surface water and groundwater,,Not sure/prefer not to answer,,,,,,No,,,No,Lack of available land,None of these are incentives,,Always,Always,Always,Always,Always,Always,Always,Always,Always,"Limited communication with contracted beekeeper/s during bloom,Limited communication with nearby beekeepers (not contracted) during bloom (e.g., because their colonies were not registered)","The ability to attract high-quality beekeepers for almond bloom,Increasing the strength of bee colonies during bloom",,Strong interest,"The ability to attract high-quality beekeepers for almond bloom,Increasing the strength of bee colonies during bloom,A cost-share program that would cover some of the costs of meeting the certification standards,Decreased rental fee for managed bee colonies",,We rented all our bees,Out of state,Contracted beekeeper,,190,6,Too expensive,Very satisfied,,Strong concern,Strong concern,Strong concern,Moderate concern,Moderate concern,,55-64 years old,Male,,,
12/10/19 15:21,174.222.130.167,8.15,Farm manager (not owner),Madera,Central,0,0,1,0,Madera,,1100,Large,100,500,700,TRUE,"Owner of the almond orchard(s),Farm manager,Affiliated PCA (with an agricultural retailer),Pesticide applicator,Beekeeper",No,,,Yes,"Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Physical interference with operations","Decreased rental fee for managed bee colonies,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",,A combination of surface water and groundwater,,Not sure/prefer not to answer,,,,,,No,,,Yes,"Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards",,Always,Always,Always,Always,Always,Always,Always,Always,Always,"Labor costs to apply pesticides/fungicides in the afternoon or evening,Labor costs to avoid tank-mixing insecticides with fungicides during bloom",Decreased rental fee for managed bee colonies,,Moderate interest,Decreased rental fee for managed bee colonies,,We rented all our bees,Out of state,"Contracted beekeeper,Bee broker",,200,4,A fair price,Somewhat satisfied,,Strong concern,Strong concern,Strong concern,Strong concern,Strong concern,,18-24 years old,Male,,,
12/10/19 15:22,107.77.212.94,11.58,Owner/operator of almond orchard(s),Butte,North,1,0,0,0,Butte,,40,Small,20,60,0,TRUE,Owner of the almond orchard(s),Yes,PCA/CCA/Crop consultant,Very Satisfied,NA,"Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Availability of equipment needed to plant seeds,Increased risk of frost damage,Limited time for planting due to competing operations",,Federal cost-share program that covered the cost of cover crop seeds,Groundwater,,Not Applicable,,,,,,No,,,Yes,"Labor to plant and maintain it,Cost to plant and maintain it,Incompatibility with irrigation system(s)",Increased strength of bee colonies during bloom and afterwards,,Never,Always,Always,Always,Always,Always,Always,Always,Always,"Limited communication with contracted beekeeper/s during bloom,The amount of ground your operation's applicator can cover in the late afternoon or at night",We already practice most or all of the Bee BMPs,,Moderate interest,"Increasing the strength of bee colonies during bloom,Decreased rental fee for managed bee colonies",,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,Contracted beekeeper,,175,8,A fair price,Somewhat satisfied,,Strong concern,Strong concern,Strong concern,Strong concern,Strong concern,,65-74 years old,Male,,,
12/10/19 15:24,107.77.214.85,9.18,Farm manager (not owner),"San Joaquin,Stanislaus",Central,0,0,1,0,Multiple,,1500,Large,400,1900,0,TRUE,Owner of the almond orchard(s),No,,,Yes,"Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations",Decreased rental fee for managed bee colonies,,A combination of surface water and groundwater,,Not sure/prefer not to answer,,,,,,No,,,No,"Lack of available land,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat",None of these are incentives,,Never,Always,Sometimes,Sometimes,Always,Always,Effort made,Always,Always,"Limited communication with contracted beekeeper/s during bloom,The amount of ground your operation's applicator can cover in the late afternoon or at night",Increasing the strength of bee colonies during bloom,,Moderate interest,"The ability to attract high-quality beekeepers for almond bloom,Increasing the strength of bee colonies during bloom",,We rented all our bees,Out of state,Contracted beekeeper,,250,6,A fair price,Unsatisfied,,Not a concern,Moderate concern,Strong concern,Strong concern,Moderate concern,,25-34 years old,Male,,,
12/10/19 15:40,172.58.30.163,24.12,Farm manager (not owner),Stanislaus,Central,0,0,1,0,Stanislaus,,100,Medium,20,125,0,TRUE,"Beekeeper,Bee broker",Yes,Directly from seed company,Very Satisfied,NA,Cost of seeds,,"Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom",Groundwater,,Not Applicable,,,,,,No,,,No,"Effort/time to manage it,Increased risk of frost damage","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards",,Sometimes,Sometimes,Always,Always,Sometimes,Never,Effort made,Effort made,Usually,Labor costs to apply pesticides/fungicides in the afternoon or evening,Increasing the strength of bee colonies during bloom,,Moderate interest,Decreased rental fee for managed bee colonies,,We rented some bees and supplied some of our own,"Near your orchard(s): from the same county or a neighboring county,California, but not a neighboring county,Out of state",Contracted beekeeper,,200,6,A fair price,Somewhat satisfied,,Moderate concern,Moderate concern,Moderate concern,Moderate concern,Moderate concern,,65-74 years old,Male,,,
12/10/19 15:43,174.222.3.28,9.72,Owner/operator of almond orchard(s),Tulare,South,0,0,0,1,Tulare,,800,Large,0,800,0,TRUE,Independent PCA (not affiliated with an agricultural retailer),Yes,Directly from seed company,Very Satisfied,NA,"Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds",,Increased strength of bee colonies during bloom,Groundwater,,Not Applicable,,,,,,Yes,1-3%,Somewhat Satisfied,NA,"Effort/time to manage it,Availability of water",Increased strength of bee colonies during bloom and afterwards,,Always,Always,Always,Always,Always,Always,Effort made,Always,Always,We had no challenges adopting the Almond Bee BMPs in 2019,We already practice most or all of the Bee BMPs,,Strong interest,"Ability to make marketing claims with a bee-friendly label,Price premium from handler/processor/distributer",,We rented some bees and supplied some of our own,Near your orchard(s): from the same county or a neighboring county,Contracted beekeeper,,,,A fair price,Somewhat satisfied,,Moderate concern,Strong concern,Strong concern,Strong concern,Moderate concern,,35-44 years old,Male,,,
12/10/19 15:50,174.194.207.189,32.3,Farm manager (not owner),San Joaquin,Central,0,0,1,0,San Joaquin,,40,Small,0,500,200,TRUE,Owner of the almond orchard(s),No,,,Yes,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Labor to grow/maintain it,Cost of seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",,A combination of surface water and groundwater,,Not sure/prefer not to answer,,,,,,No,,,Not sure,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Lack of information about how to grow permanent pollinator habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies",,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Usually,Usually,Usually,"Limited communication with contracted beekeeper/s during bloom,Safety issues involved in making nighttime applications",Decreased rental fee for managed bee colonies,,Moderate interest,"Decreased rental fee for managed bee colonies,Price premium from handler/processor/distributer",,We rented all our bees,Prefer not to answer,Bee broker,,0,0,A fair price,Somewhat satisfied,,Strong concern,Moderate concern,Strong concern,Strong concern,Strong concern,,18-24 years old,Female,,,
12/10/19 15:52,174.222.140.237,13.02,Farm manager (not owner),Colusa,North,1,0,0,0,Colusa,,2000,Large,500,1000,1500,TRUE,"Owner of the almond orchard(s),Farm manager,Beekeeper",Yes,PCA/CCA/Crop consultant,Somewhat Satisfied,NA,"Availability of water,Expense of water,Availability of equipment needed to plant seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations",,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",A combination of surface water and groundwater,,"Highest Price,Lowest Price",130,13000,,55,,No,,,Not sure,"Lack of available land,Availability of water,Increased risk of frost damage,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Fire danger from vegetation",Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Always,Always,Always,"Labor costs to apply pesticides/fungicides in the afternoon or evening,Labor costs to avoid tank-mixing insecticides with fungicides during bloom,Limited communication with nearby beekeepers (not contracted) during bloom (e.g., because their colonies were not registered)","Increasing the strength of bee colonies during bloom,Decreased rental fee for managed bee colonies",,Moderate interest,"Increasing the strength of bee colonies during bloom,A cost-share program that would cover some of the costs of meeting the certification standards,Ability to make marketing claims with a bee-friendly label",,We rented all our bees,"California, but not a neighboring county",Contracted beekeeper,,200,12,Too expensive,Somewhat satisfied,,Strong concern,Strong concern,Strong concern,Strong concern,Not a concern,,55-64 years old,Male,,,
12/10/19 16:03,174.222.8.67,5.47,Farm manager (not owner),"San Joaquin,Madera,Fresno,Kings,Tulare",South,0,0,0,1,Multiple,,250,Large,45,275,100,TRUE,Affiliated PCA (with an agricultural retailer),No,,,No,Availability of water,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",,A combination of surface water and groundwater,,Not sure/prefer not to answer,,,,,,No,,,No,"Effort/time to manage it,Availability of water","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies",,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Usually,Usually,Usually,"Labor costs to apply pesticides/fungicides in the afternoon or evening,The amount of ground your operation's applicator can cover in the late afternoon or at night","Increasing the strength of bee colonies during bloom,Decreased rental fee for managed bee colonies",,Moderate interest,The ability to attract high-quality beekeepers for almond bloom,,Prefer not to answer,Out of state,Bee broker,,,,A fair price,Somewhat satisfied,,Strong concern,Strong concern,Strong concern,Strong concern,Strong concern,,25-34 years old,Male,,,
