EndDate,IPAddress,Duration (in seconds),Duration (in mins),DistributionChannel,RoleOperation,Regions,Tehama,Butte,Glenn,Colusa,Yuba,Sutter,Yolo,Solano,San Joaquin,Stanislaus,Madera,Merced,Fresno,Kings,Tulare,Kern,Sacramento,TotalYieldBearing,NonYieldBearing,TotalOwn,TotalLease,Pollination_Owner,Pollination_FM,Pollination_IndependentPCA,Pollination_AffiliatedPCA,Pollination_Pesticide,Pollination_Beekeeper,Pollination_BeeBroker,GrownCC,Fed_CostShare,Private_CostShare,SeedCompany,PCA/CCA,CC_Satisfaction,CC_Interest,ConcernCC_WaterAvailability,CC_WaterExpense,CC_IrrigationSystem,CC_EffortTime,CC_Labor,CC_EquipmentCost,CC_EquipmentAvailability,CC_SeedCost,CC_SoilType,CC_FrostDamage,CC_SupportPest,CC_CompetingOperations,CC_PhysicalInterference,CC_NoConcern,CC_PreferNotAnswer,FutureIncentivesCC_AssociatedNonPollination,FutureCC_DecreasedRentalFee,FutureCC_FedCostShare,FutureCC_PrivateCostShare,FutureCC_Equipment,FutureCC_BeeStrength,FutureCC_None,FutureCC_PreferNoAnswer,PastCCIncentives_AssociatedNonPollination,PastCC_DecreasedRentalFee,PastCC_FedCostShare,PastCC_PrivateCostShare,PastCC_Equipment,PastCC_BeeStrength,PastCC_None,PastCC_PreferNoAnswer,Irrigation_Flood,Irrigation_Micro,Irrigation_Solid,Irrigation_Single,Irrigation_Double,Irrigation_PreferNoAnswer,WaterSource,WaterSourceOther,WaterBoxH,WaterBoxL,NotApplicaple,NotSure,HighestWaterPrice,LowWaterPrice,CC_Comments,GrownPPH,PercentPPH,PPHSatisfaction,PPHInterest,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_15,Q24_16,Q25_1,Q25_4,Q25_3,Q25_5,Q25_6,Q25_8,Q25_11,Q26,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q29_1,Q29_2,Q29_3,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_10,Q30_11,Q31_1,Q31_2,Q31_3,Q31_4,Q31_9,Q31_6,Q31_8,Q32,Q34,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_8,Q35_11,Q35_12,Q36,Q38,Q39_1,Q39_2,Q39_3,Q39_6,Q40_3,Q40_2,Q40_4,Q40_6,Q40_8,Q40_6_TEXT,Q41_4,Q41_5,Q42,Q43,Q44,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Q46,Q50,Q51,Q52,Q53,Q40_6_TEXT - Parent Topics,Q40_6_TEXT - Sentiment Polarity,Q40_6_TEXT - Sentiment Score,Q40_6_TEXT - Sentiment,Q40_6_TEXT - Topic Sentiment Label,Q40_6_TEXT - Topic Sentiment Score,Q40_6_TEXT - Topics
12/10/19 15:08,107.77.214.107,347,5.78,qr,1,North,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,20,45,75,,1,,,,,,1,,1,,,5,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,3,,,,,1,,,,1,9,5,,1,,,1,,,,1,,,,,,,,1,,,,,,,,8,7,7,8,8,7,2,3,3,,,,1,,,,,1,,1,,,,,,3,,,1,,,,,,,,6,,,,,,,,,,,,,,,2,1,2,2,2,3,,4,1,,1,,,,,,,
12/10/19 15:11,174.222.135.144,374,6.23,qr,2,Central,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,25,1,25,0,1,,1,,,,,2,,,,,,1,,,,,,,1,,,1,,,1,,,1,1,1,1,1,1,,,,,,,,,,,,1,,,,,3,,,,,1,,,,6,,,2,1,,,,,,,,,,,,,,,,,,,,1,,,10,10,10,10,10,10,3,3,3,,,1,1,,,,,1,,1,,,,,,4,1,1,1,1,,,,,,,1,,,1,,1,,,,,,190,6,3,4,,3,3,3,2,2,,5,1,,1,,,,,,,
12/10/19 15:21,174.222.130.167,489,8.15,qr,3,Central,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1100,100,500,700,1,1,,1,1,1,,2,,,,,,1,,,,1,1,1,,,,,,,1,,,,1,,,1,1,,,,,,,,,,,,1,,,1,,3,,,,,1,,,,6,,,1,,1,1,1,,,,,,,,,,,,,,1,1,,,,,10,10,10,10,10,10,3,3,3,1,1,,,,,,,,,,1,,,,,3,,,,1,,,,,,,1,,,1,,1,1,,,,,200,4frames,2,2,,3,3,3,3,3,,1,1,,1,,,,,,,
12/10/19 15:22,107.77.212.94,695,11.58,qr,2,North,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,20,60,0,1,,,,,,,1,,,,1,6,,,1,1,1,,,1,,,1,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,2,,,,1,,,,,6,,,1,,1,,1,1,,,,,,,,,,,,,,1,,,,,7,10,10,10,10,10,3,3,3,,,1,,1,,,,,,,,1,,,,3,,1,,1,,,,,,,1,1,,,,1,,,,,,175,8,2,2,,3,3,3,3,3,,6,1,,1,,,,,,,
12/10/19 15:24,107.77.214.85,551,9.18,anonymous,3,Central,,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1500,400,1900,0,1,,,,,,,2,,,,,,1,,,,,1,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,1,,1,,,,3,,,,,1,,,,6,,,2,1,,,,,,,,,,1,,1,,,,,,,,1,,,7,10,8,8,10,10,1,3,3,,,1,,1,,,,,,1,,,,,,3,1,1,,,,,,,,,1,,,1,,1,,,,,,250,6,2,1,,1,2,3,3,2,,2,1,,1,,,,,,,
12/10/19 15:40,172.58.30.163,1447,24.12,qr,3,Central,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,100,20,125,0,,,,,,1,1,1,,,1,,6,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,2,,,,1,,,,,6,,,2,,,1,,,,,,,1,,,,,,,,1,1,,,,,8,8,10,10,8,7,1,1,2,1,,,,,,,,,,1,,,,,,3,,,,1,,,,,,,2,1,1,1,,1,,,,,,200,6,2,2,,2,2,2,2,2,,6,1,,1,,,,,,,
12/10/19 15:43,174.222.3.28,583,9.72,qr,2,South,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,800,0,800,0,,,1,,,,,1,,,1,,6,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,2,,,,1,,,,,1,9,5,,,,1,,,,,,1,,,,,,,,,,1,,,,,10,10,10,10,10,10,1,3,3,,,,,,,1,,,,,,1,,,,4,,,,,1,1,,,,,2,1,,,,1,,,,,,,,2,2,,2,3,3,3,2,,3,1,,1,,,,,,,
12/10/19 15:50,174.194.207.189,1938,32.3,qr,3,Central,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,40,0,500,200,1,,,,,,,2,,,,,,1,1,1,1,,1,,,1,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,3,,,,,1,,,,6,,,8,1,1,1,1,,,1,,,,,,,,,1,,1,,,,,,7,8,8,8,8,8,2,2,2,,,1,,,1,,,,,,1,,,,,3,,,,1,,1,,,,,1,,,,1,,1,,,,,0,0,2,2,,3,2,3,3,3,,1,2,,1,,,,,,,
12/10/19 15:52,174.222.140.237,781,13.02,qr,3,North,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,500,1000,1500,1,1,,,,1,,1,,,,1,5,,1,1,,,,,1,,,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,1,1,,3,,1,1,,,130,55,,6,,,8,1,,,,,,,,1,1,1,1,,,,1,,,,,,,,8,8,8,10,10,8,3,3,3,1,1,,1,,,,,,,1,1,,,,,3,,1,1,,1,,,,,,1,,1,,,1,,,,,,200,12,3,2,,3,3,3,3,1,,5,1,,1,,,,,,,
12/10/19 16:03,174.222.8.67,328,5.47,qr,3,South,,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,NA,NA,250,45,275,100,,,,1,,,,2,,,,,,2,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,1,,3,,,,,1,,,,6,,,2,,,1,,,,,,1,,,,,,,1,,1,,,,,,8,8,10,8,8,10,2,2,2,1,,,,1,,,,,,1,1,,,,,3,1,,,,,,,,,,7,,,1,,,1,,,,,,,2,2,,3,3,3,3,3,,2,1,,1,,,,,,,
